x,y,cluster
-35.38312,-35.747135,3
-2.011065,-5.368301,3
-13.511662,-31.692778,1
5.720462,0.84658885,3
-3.4174533,42.019623,3
-29.784529,7.8054,4
2.0029109,-10.76401,3
-9.554062,-32.943905,0
-39.891983,19.802242,2
-32.621693,-6.921041,2
32.515812,-13.208206,3
30.223167,37.932472,4
-48.103992,12.472491,2
0.5163297,-16.832266,4
41.565033,2.1539788,4
-16.458073,-16.971865,4
-15.244133,17.134405,4
-23.44504,43.538822,4
22.188255,22.239723,4
43.58056,-2.634162,1
2.02755,6.1494045,4
-11.673213,-21.797037,2
-4.6908855,1.916734,4
-34.468315,8.114209,3
-11.93941,19.340534,2
-8.412499,19.197235,2
39.37435,20.073854,3
45.53344,-3.6038122,3
-5.9474564,-47.39172,3
9.333527,18.57125,4
26.151733,-4.7241106,3
22.785452,-21.663773,0
38.77246,3.6943722,4
3.2969272,6.6786795,4
-30.72303,-36.617245,3
11.36343,-18.467712,4
23.215794,18.387606,3
31.884388,18.075428,4
10.464617,-48.691135,4
8.867556,-32.34006,4
-4.0528865,34.500477,3
22.949615,24.21776,4
-35.639114,13.549869,1
-23.535028,26.356312,1
-44.939766,-7.2091327,3
30.019276,-23.737011,3
7.509897,1.778766,3
-18.096518,36.084072,2
27.89269,36.957928,4
6.869654,34.048634,3
-41.00453,-23.785,3
-5.5902305,-7.606279,0
13.619353,5.867596,3
18.328611,8.695544,2
26.263773,22.543486,4
-17.328564,-24.864069,3
17.11379,5.640373,2
-32.95542,4.422683,3
23.48335,10.813656,1
-18.820395,30.375166,4
-10.362504,46.495266,3
-4.837398,10.397262,3
2.8088324,-1.9117866,3
-23.557598,25.080326,3
24.879948,30.732002,4
39.47764,-9.671852,4
11.837261,11.427201,3
-43.034973,4.479589,4
-8.689406,21.809347,4
12.258849,21.084806,4
51.494106,-0.57604265,2
-26.343716,-9.8480215,3
21.041283,5.1962194,3
-47.05827,-10.60798,3
7.3372808,-7.41689,4
6.6583076,-7.6323915,2
-27.475838,-10.02389,4
-12.171806,35.349316,4
26.4625,-21.150406,3
19.217081,-30.913258,4
-36.13307,-7.261285,4
8.73832,-17.265566,3
15.325384,-21.08684,4
-19.02732,-26.321104,3
-32.57836,-27.710995,3
18.758142,-30.849182,4
-22.77026,-12.147476,4
-46.27914,13.826238,4
15.689953,-36.606922,2
-22.533312,-1.7983668,3
33.678234,-23.147148,3
45.201363,8.168403,1
17.343163,-25.530148,4
30.548552,26.87561,3
11.161593,48.719147,1
9.134977,15.859426,3
0.4398826,-0.7611459,0
41.227512,15.072558,4
22.965893,5.1872444,4
-37.801476,-32.407227,3
-2.5126357,15.882342,3
-7.7119374,-18.126783,4
26.84614,-1.7919648,3
7.2631435,37.298294,3
-4.1511903,26.848288,4
-24.854036,5.7422776,4
4.2651014,-2.9887235,3
23.14024,15.452479,4
-12.344165,-27.737692,1
-26.911295,17.914028,4
-21.148962,19.795631,3
40.133274,-10.186526,2
-10.264592,10.493296,4
26.306223,27.076271,3
13.077531,-49.65716,4
37.23136,30.627,4
-3.9522204,2.9675283,2
-38.868103,-28.342613,1
49.190117,-7.8311086,2
4.1364183,-2.8224485,1
11.897406,-32.2794,0
-14.120708,-50.541832,0
11.597452,-28.833946,4
-28.004087,19.510159,4
-22.723627,22.879139,4
-24.732391,-18.672937,1
29.54162,36.808067,4
-25.280403,33.268986,2
15.889271,-42.943104,3
9.879838,-2.1442392,4
-27.234835,14.591823,3
-20.191036,-8.80031,3
-25.809555,-20.940788,3
46.631306,1.6454409,4
1.7522551,49.05226,1
30.03915,39.19984,4
25.640491,1.906121,4
5.179957,19.97744,2
